,МРВ Сухо,МРВ дождь,Игора сухо,Игора дождь,,
,,,,,Длина базы ,550
лучшее время,1.42,,2.01:3,,желаемая,
асфальт,,,,,,
погода (тип),,,,,,
погода (температура),,,,,,
"вилка провал,mm",3,3,3,3,,
"вилка прелоад, оборотов",10,,,,,
вилка отбой,14,18,14,18,,
вилка сжатие,14,18,14,18,,
"длина аморта, mm",15,,11,,,
"аморт прелоад, об",,,,,,
аморт отбой,14,18,,18,,
аморт сжатие,14,18,,18,,
давление перед,2.4 | 80C 2.4,,2.4 | 80C 2.4,,,
давление зад,1.55 | 85C 1.6,,1.55 | 85C 1.6,,,
звезда перед,15,,15,,,
звезда зад,43,,43,,,
компаунд перед,SC1,R,SC1,,,
компаунд зад,SC0,R,SC1,,,
пружины перед,9.75,9,10,9,,
пружины зад,80,75,80,75,,
саг R," был хз, надо 25",,25,,,
саг F," был хз, надо 37",,37,,,